Original Word,Transliteration,Root,Telugu Meaning,English Meaning,Part of Speech,Strong's
"בְּרֵאשִׁית","Bereshit","ראשׁית","ఆరంభంలో","In the beginning","Noun","H7225"
"בָּרָא","Bara","ברא","సృష్టించెను","Created","Verb","H1254"
"אֱלֹהִים","Elohim","אלה","దేవుడు","God","Noun","H430"
"שָׁמַיִם","Shamayim","שׁמה","ఆకాశము","Heavens","Noun","H8064"
"אֶרֶץ","Erets","ארץ","భూమి","Earth","Noun","H776"
"תֹּהוּ","Tohu","תהה","నిరాకారము","Formless/Confusion","Noun","H8414"
"בֹּהוּ","Bohu","בהה","శూన్యము","Void/Emptyness","Noun","H922"
"חֹשֶׁךְ","Choshek","חשׁך","చీకటి","Darkness","Noun","H2822"
"תְּהוֹם","Tehom","הום","అగాధము","The Deep/Abyss","Noun","H8415"
"רוּחַ","Ruach","רוח","ఆత్మ","Spirit/Wind","Noun","H7307"
"מַיִם","Mayim","מים","నీళ్లు","Water","Noun","H4325"
"אוֹר","Or","אור","వెలుగు","Light","Noun","H216"
"יוֹם","Yom","יום","దినము","Day","Noun","H3117"
"לַיְלָה","Laylah","ליל","రాత్రి","Night","Noun","H3915"
"רָקִיעַ","Raqia","רקע","ఆకాశమండలము","Expanse/Firmament","Noun","H7549"
"יַבָּשָׁה","Yabbashah","יבשׁ","ఆరిన నేల","Dry land","Noun","H3006"
"עֵץ","Ets","עצה","చెట్టు","Tree","Noun","H6086"
"פְּרִי","Peri","פרה","ఫలము","Fruit","Noun","H6529"
"מָאוֹר","Maor","אור","జ్యోతి/వెలుగునిచ్చేది","Luminary/Light-bearer","Noun","H3974"
"נֶפֶשׁ","Nephesh","נפשׁ","జీవము/ప్రాణము","Living being/Soul","Noun","H5315"
"אָדָם","Adam","אדם","నరుడు","Man/Humanity","Noun","H120"
"צֶלֶם","Tselem","צלם","స్వరూపము","Image","Noun","H6754"
"דְּמוּת","Demuth","דמה","పోలిక","Likeness","Noun","H1823"
"זָכָר","Zakhar","זכר","పురుషుడు","Male","Noun/Adjective","H2145"
"נְקֵבָה","Neqevah","נקב","స్త్రీ","Female","Noun/Adjective","H5347"
"וַיְכֻלּוּ","vaykhulu","כָּלָה","ముగించబడెను","were finished","Verb","H3615"
"מְלַאכְתּוֹ","melakto","מְלָאכָה","అతని పని","his work","Noun","H4399"
"הַשְּׁבִיעִי","hashvi'i","שֶׁבַע","ఏడవ","the seventh","Adjective","H7637"
"וַיִּשְׁבֹּת","vayishbot","שָׁבַת","విశ్రమించెను","and he rested","Verb","H7673"
"וַיְקַדֵּשׁ","vayqaddesh","קָדַשׁ","పరిశుద్ధపరిచెను","and he sanctified","Verb","H6942"
"תּוֹלְדֹות","toledot","יָלַד","వంశావళి / చరిత్ర","generations / history","Noun","H8435"
"וַיִּיצֶר","vayyitser","יָצַר","నిర్మించెను","and he formed","Verb","H3335"
