Strong's Number,Original Word,English Meaning,Telugu Word,Telugu Meaning,Language,Testament
H0001,אָב,father,అబ్,తండ్రి,Hebrew,Old Testament
H0002,אַב,father,అబ్,తండ్రి (అరమాయిక్),Hebrew,Old Testament
H0003,אֵב,a green plant,ఏబ్,పచ్చని మొక్క,Hebrew,Old Testament
H0004,אֵב,fruit,,,Hebrew,Old Testament
H0005,אֲבַגתָּא,Abagtha' (ab-ag-thaw') n/p.,,,Hebrew,Old Testament
H0006,אָבַד,abad (aw-bad') v.,ఆబద్,నశించు,Hebrew,Old Testament
H0007,אֲבַד,abad (ab-ad') v.,,,Hebrew,Old Testament
H0008,אוֹבֵד,(concretely) wretched,,,Hebrew,Old Testament
H0009,אֲבֵדָה,(concretely) something lost,,,Hebrew,Old Testament
H0010,אֲבַדּוֹה,a perishing,,,Hebrew,Old Testament
H0011,אֲבַדּוֹן,abaddown (ab-ad-done') n/l.,,,Hebrew,Old Testament
H0012,אַבדָּן,a perishing,,,Hebrew,Old Testament
H0013,אָבדָּן,a perishing,,,Hebrew,Old Testament
H0014,אָבָה,abah (aw-baw') v.,ఆబా,అంగీకరించు,Hebrew,Old Testament
H0015,אָבֶה,longing,,,Hebrew,Old Testament
H0016,אֵבֶה,the papyrus,,,Hebrew,Old Testament
H0017,אֲבוֹי,abowy (ab-o'ee) inj.,,,Hebrew,Old Testament
H0018,אֵבוּס,a manger or stall,,,Hebrew,Old Testament
H0019,אִבחָה,brandishing of a sword,,,Hebrew,Old Testament
H0020,אֲבַטִּיַח,a melon (only plural),,,Hebrew,Old Testament
H0021,אֲבִי,Abiy (ab-ee') n/p.,,,Hebrew,Old Testament
H0022,אֲבִיאֵל,Abiy'el (ab-ee-ale') n/p.,,,Hebrew,Old Testament
H0023,אֲבִיאָסָף,Abiy'acaph (ab-ee-aw-sawf') n/p.,,,Hebrew,Old Testament
H0024,אָבִיבּ,green,,,Hebrew,Old Testament
H0025,אֲבִי גִּבעוֹן,Abiy Gib`own (ab-ee' ghib-one') n/p.,,,Hebrew,Old Testament
H0026,אֲבִיגַּיִל אֲבִיגַּל,Abiygayil (ab-ee-gah'-yil) (or shorter Abiygal ab-ee-gal') n/p.,,,Hebrew,Old Testament
H0027,אֲבִידָּן,Abiydan (ab-ee-dawn') n/p.,,,Hebrew,Old Testament
H0028,אֲבִידָּע,Abiyda` (ab-ee-daw') n/p.,,,Hebrew,Old Testament
H0029,אֲבִיָה אֲבִיָהוּ,Abiyah (ab-ee-yaw') (or prolonged Abiyahuw ab-ee-yaw'-hoo) n/p.,,,Hebrew,Old Testament
H0030,אֲבִיהוּא,Abiyhuw' (ab-ee-hoo') n/p.,,,Hebrew,Old Testament
H0031,אֲבִיהוּד,Abiyhuwd (ab-ee-hood') n/p.,,,Hebrew,Old Testament
H0032,אֲבִיהַיִל אֲבִיחַיִל,Abiyhayil (ab-ee-hah'-yil) (or (more correctly) hAbiychayil ab-ee- khah'-yil) n/p.,,,Hebrew,Old Testament
H0033,אֲבִי הָעֶזרִי,Abiy ha-`Ezriy (ab-ee'-haw-ez-ree') n/p.,,,Hebrew,Old Testament
H0034,אֶביוֹן,ebyown (eb-yone') adj.,,,Hebrew,Old Testament
H0035,אֲבִיוֹנָה,provocative of desire,,,Hebrew,Old Testament
H0036,אֲבִיטּוּב,Abiytuwb (ab-ee-toob') n/p.,,,Hebrew,Old Testament
H0037,אֲבִיטַּל,Abiytal (ab-ee-tal') n/p.,,,Hebrew,Old Testament
H0038,אֲבִיָם,Abiyam (ab-ee-yawm') n/p.,,,Hebrew,Old Testament
H0039,אֲבִימָאֵל,Abiyma'el (ab-ee-maw-ale') n/p.,,,Hebrew,Old Testament
H0040,אֲבִימֶלֶך,Abiymelek (ab-ee-mel'-ek) n/p.,,,Hebrew,Old Testament
H0041,אֲבִינָדָב,Abiynadab (ab-ee-naw-dawb') n/p.,,,Hebrew,Old Testament
H0042,אֲבִינוֹעַם,Abiyno`am (ab-ee-no'-am) n/p.,,,Hebrew,Old Testament
H0043,אֶביָסָף,Ebyacaph (eb-yaw-sawf') n/p.,,,Hebrew,Old Testament
H0044,אֲבִיעֶזֶר,Abiy`ezer (ab-ee-ay'-zer) n/p.,,,Hebrew,Old Testament
H0045,אֲבִי ־ עַלבּוֹן,Abiy-`albown (ab-ee-al-bone') n/p.,,,Hebrew,Old Testament
H0046,אָבִיר,abiyr (aw-beer') adj.,,,Hebrew,Old Testament
H0047,אַבִּיר,abbiyr (ab-beer') adj.,,,Hebrew,Old Testament
H0048,אֲבִירָם,Abiyram (ab-ee-rawm') n/p.,,,Hebrew,Old Testament
H0049,אֲבִישַׁג,Abiyshag (ab-ee-shag') n/p.,,,Hebrew,Old Testament
H0050,אֲבִישׁוַּע,Abiyshuwae (ab-ee-shoo'-ah) n/p.,,,Hebrew,Old Testament
H0051,אֲבִישׁוּר,Abiyshuwr (ab-ee-shoor') n/p.,,,Hebrew,Old Testament
H0052,אֲבִישַׁי אַבשַׁי,Abiyshay (ab-ee-shah'ee) (or (shorter) Abshay ab-shah'ee) n/p.,,,Hebrew,Old Testament
H0053,אֲבִישָׁלוֹם אַבשָׁלוֹם,Abiyshalowm (ab-ee-shaw-lome') (or (shortened) bAbshalowm ab-shaw- lome') n/p.,,,Hebrew,Old Testament
H0054,אֶביָתָר,Ebyathar (ab-yaw-thawr') n/p.,,,Hebrew,Old Testament
H0055,אָבַך,abak (aw-bak') v.,,,Hebrew,Old Testament
H0056,אָבַל,abal (aw-bal') v.,,,Hebrew,Old Testament
H0057,אָבֵל,abel (aw-bale') adj.,,,Hebrew,Old Testament
H0058,אָבֵל,a meadow,,,Hebrew,Old Testament
H0059,אָבֵל,Abel (aw-bale') n/l.,,,Hebrew,Old Testament
H0060,אֵבֶל,lamentation,,,Hebrew,Old Testament
H0061,אֲבָל,abal (ab-awl') adv.,,,Hebrew,Old Testament
H0062,אָבֵל בֵּיתּ מֲעַכָה,Abel Beyth-Ma`akah (aw-bale' bayth ma-a-kaw') n/l.,,,Hebrew,Old Testament
H0063,אָבֵל הַשִּׁטִּים,Abel hash-Shittiym (aw-bale' hash-shit-teem') n/l.,,,Hebrew,Old Testament
H0064,אָבֵל כְּרָמִים,Abel Kramiym (aw-bale' ker-aw-meem') n/l.,,,Hebrew,Old Testament
