Strong's Number,Original Word,English Meaning,Telugu Word,Telugu Meaning,Language,Testament
H0001,אָב,"father",అబ్,తండ్రి,Hebrew,Old Testament
H0002,אַב,"father",అబ్,తండ్రి (అరమాయిక్),Hebrew,Old Testament
H0003,אֵב,"a green plant",ఏబ్,పచ్చని మొక్క,Hebrew,Old Testament
H0004,אֵב,"fruit",,పండు,Hebrew,Old Testament
H0005,אֲבַגתָּא,"Abagtha' (ab-ag-thaw') n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H0006,אָבַד,"abad (aw-bad') v.",ఆబద్,నశించు,Hebrew,Old Testament
H0007,אֲבַד,"abad (ab-ad') v.",,అబద్,Hebrew,Old Testament
H0008,אוֹבֵד,"(concretely) wretched",,నిజంగా దురదృష్టకరం,Hebrew,Old Testament
H0009,אֲבֵדָה,"(concretely) something lost",,నిజంగా ఏదో కోల్పోయింది,Hebrew,Old Testament
H0010,אֲבַדּוֹה,"a perishing",,నశించుట,Hebrew,Old Testament
H0011,אֲבַדּוֹן,"abaddown (ab-ad-done') n/l.",,ఒకటి,Hebrew,Old Testament
H0012,אַבדָּן,"a perishing",,నశించుట,Hebrew,Old Testament
H0013,אָבדָּן,"a perishing",,నశించుట,Hebrew,Old Testament
H0014,אָבָה,"abah (aw-baw') v.",ఆబా,అంగీకరించు,Hebrew,Old Testament
H0015,אָבֶה,"longing",,వాంఛ,Hebrew,Old Testament
H0016,אֵבֶה,"the papyrus",,బొంగరము,Hebrew,Old Testament
H0017,אֲבוֹי,"abowy (ab-o'ee) inj.",,అబోయి,Hebrew,Old Testament
H0018,אֵבוּס,"a manger or stall",,మనిషి,Hebrew,Old Testament
H0019,אִבחָה,"brandishing of a sword",,మాట,Hebrew,Old Testament
H0020,אֲבַטִּיַח,"a melon (only plural)",,పుచ్చకాయలు మాత్రమే బహువచనం,Hebrew,Old Testament
H0021,אֲבִי,"Abiy (ab-ee') n/p.",,తండ్రి,Hebrew,Old Testament
H0022,אֲבִיאֵל,"Abiy'el (ab-ee-ale') n/p.",,అబీయేలు,Hebrew,Old Testament
H0023,אֲבִיאָסָף,"Abiy'acaph (ab-ee-aw-sawf') n/p.",,అబీయాసాఫ్,Hebrew,Old Testament
H0024,אָבִיבּ,"green",,ఆకుపచ్చ,Hebrew,Old Testament
H0025,אֲבִי גִּבעוֹן,"Abiy Gib`own (ab-ee' ghib-one') n/p.",,ఒకటి,Hebrew,Old Testament
H0026,אֲבִיגַּיִל אֲבִיגַּל,"Abiygayil (ab-ee-gah'-yil) (or shorter Abiygal ab-ee-gal') n/p.",,అబీగయిల్ లేదా అబీగల్,Hebrew,Old Testament
H0027,אֲבִידָּן,"Abiydan (ab-ee-dawn') n/p.",,అబీదాన్,Hebrew,Old Testament
H0028,אֲבִידָּע,"Abiyda` (ab-ee-daw') n/p.",,అబీదా,Hebrew,Old Testament
H0029,אֲבִיָה אֲבִיָהוּ,"Abiyah (ab-ee-yaw') (or prolonged Abiyahuw ab-ee-yaw'-hoo) n/p.",,అబీయా లేదా అబీయాహువ్,Hebrew,Old Testament
H0030,אֲבִיהוּא,"Abiyhuw' (ab-ee-hoo') n/p.",,అబీహువ్,Hebrew,Old Testament
H0031,אֲבִיהוּד,"Abiyhuwd (ab-ee-hood') n/p.",,అబీహూద్,Hebrew,Old Testament
H0032,אֲבִיהַיִל אֲבִיחַיִל,"Abiyhayil (ab-ee-hah'-yil) (or (more correctly) hAbiychayil ab-ee- khah'-yil) n/p.",,అబీహాయిల్ లేదా మరింత సరైన హబీచాయిల్,Hebrew,Old Testament
H0033,אֲבִי הָעֶזרִי,"Abiy ha-`Ezriy (ab-ee'-haw-ez-ree') n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H0034,אֶביוֹן,"ebyown (eb-yone') adj.",,ఒకటి,Hebrew,Old Testament
H0035,אֲבִיוֹנָה,"provocative of desire",,కోరికను రేకెత్తించేది,Hebrew,Old Testament
H0036,אֲבִיטּוּב,"Abiytuwb (ab-ee-toob') n/p.",,అబీతూబ్,Hebrew,Old Testament
H0037,אֲבִיטַּל,"Abiytal (ab-ee-tal') n/p.",,అబీతల్,Hebrew,Old Testament
H0038,אֲבִיָם,"Abiyam (ab-ee-yawm') n/p.",,అబీయామ్,Hebrew,Old Testament
H0039,אֲבִימָאֵל,"Abiyma'el (ab-ee-maw-ale') n/p.",,అబీమాయేలు,Hebrew,Old Testament
H0040,אֲבִימֶלֶך,"Abiymelek (ab-ee-mel'-ek) n/p.",,అబీమెలెకు,Hebrew,Old Testament
H0041,אֲבִינָדָב,"Abiynadab (ab-ee-naw-dawb') n/p.",,అబినదాబు,Hebrew,Old Testament
H0042,אֲבִינוֹעַם,"Abiyno`am (ab-ee-no'-am) n/p.",,అబినోయమ్,Hebrew,Old Testament
H0043,אֶביָסָף,"Ebyacaph (eb-yaw-sawf') n/p.",,ఎబ్యాసాఫ్,Hebrew,Old Testament
H0044,אֲבִיעֶזֶר,"Abiy`ezer (ab-ee-ay'-zer) n/p.",,అభియేజెర్,Hebrew,Old Testament
H0045,אֲבִי ־ עַלבּוֹן,"Abiy-`albown (ab-ee-al-bone') n/p.",,ఒకటి,Hebrew,Old Testament
H0046,אָבִיר,"abiyr (aw-beer') adj.",,బలవంతుడు,Hebrew,Old Testament
H0047,אַבִּיר,"abbiyr (ab-beer') adj.",,బలవంతుడు,Hebrew,Old Testament
H0048,אֲבִירָם,"Abiyram (ab-ee-rawm') n/p.",,అబీరామ్,Hebrew,Old Testament
H0049,אֲבִישַׁג,"Abiyshag (ab-ee-shag') n/p.",,అబీషగు,Hebrew,Old Testament
H0050,אֲבִישׁוַּע,"Abiyshuwae (ab-ee-shoo'-ah) n/p.",,అబీషువ,Hebrew,Old Testament
H0051,אֲבִישׁוּר,"Abiyshuwr (ab-ee-shoor') n/p.",,అబీషూర్,Hebrew,Old Testament
H0052,אֲבִישַׁי אַבשַׁי,"Abiyshay (ab-ee-shah'ee) (or (shorter) Abshay ab-shah'ee) n/p.",,అబీషై,Hebrew,Old Testament
H0053,אֲבִישָׁלוֹם אַבשָׁלוֹם,"Abiyshalowm (ab-ee-shaw-lome') (or (shortened) bAbshalowm ab-shaw- lome') n/p.",,పది,Hebrew,Old Testament
H0054,אֶביָתָר,"Ebyathar (ab-yaw-thawr') n/p.",,ఎబ్యాతార్,Hebrew,Old Testament
