Strong's Number,Original Word,Testament,Has English,Has Telugu,Part of Speech,Gloss/Note
G1,"ἄν",Greek (NT),No,Yes,,""
G2,"Ἀαρών",Greek (NT),No,Yes,,""
G3,"Ἀβαδδών",Greek (NT),No,Yes,,""
G4,"ἀβαρής",Greek (NT),No,Yes,,""
G5,"Ἀββᾶ",Greek (NT),No,Yes,,""
G6,"Ἄβελ",Greek (NT),No,No,,""
G7,"Ἀβιά",Greek (NT),No,No,,""
G8,"Ἀβιαθάρ",Greek (NT),No,No,,""
G9,"Ἀβιληνή",Greek (NT),No,No,,""
G10,"Ἀβιούδ",Greek (NT),No,No,,""
G11,"Ἀβραάμ",Greek (NT),No,No,,""
G12,"ἄβυσσος",Greek (NT),No,No,,""
G13,"Ἄγαβος",Greek (NT),No,No,,""
G14,"ἀγαθοεργέω",Greek (NT),No,No,,""
G15,"ἀγαθοποιέω",Greek (NT),No,No,,""
G16,"ἀγαθοποιΐα",Greek (NT),No,No,,""
G17,"ἀγαθοποιός",Greek (NT),No,No,,""
G18,"ἀγαθός",Greek (NT),No,Yes,,""
G19,"ἀγαθωσύνη",Greek (NT),No,No,,""
G20,"ἀγαλλίασις",Greek (NT),No,No,,""
G21,"ἀγαλλιάω",Greek (NT),No,No,,""
G22,"ἄγαμος",Greek (NT),No,No,,""
G23,"ἀγανακτέω",Greek (NT),No,No,,""
G24,"ἀγανάκτησις",Greek (NT),No,No,,""
G25,"ἀγαπάω",Greek (NT),No,Yes,,""
G26,"ἀγάπη",Greek (NT),No,Yes,,""
G27,"ἀγαπητός",Greek (NT),No,No,,""
G28,"Ἄγαρ",Greek (NT),No,No,,""
G29,"ἀγγαρεύω",Greek (NT),No,No,,""
G30,"ἀγγεῖον",Greek (NT),No,No,,""
G31,"ἀγγελία",Greek (NT),No,No,,""
G32,"ἄγγελος",Greek (NT),No,Yes,,""
G33,"ἄγε",Greek (NT),No,No,,""
G34,"ἀγέλη",Greek (NT),No,No,,""
G35,"ἀγενεαλόγητος",Greek (NT),No,No,,""
