strongs,word,occurrences,english_meaning,telugu_meaning
H853,אֵת,11061,(properly) self; (generally) used to point out the object of a verb (or preposition) more definitely; (hence) even or namely,వస్తు గుర్తు (వ్యాకరణం)
H3068,יְהוֹוָה,6207,Jewish national name of God,ప్రభువు (దేవుని నామం)
H5921,עַל,5779,"over, upon, or against (yet always in this last relation with a downward aspect) in a great variety of applications (as follow)",
H412,אֵל,5515,el (ale) prt-d. 1. these [(Aramaic) corresponding to H411]  Root(s): H411,
H834,אֲשֶׁר,5503,"(as adverb) when, where, how; (as conjunction) because, in order that, etc",
H3605,כּוֹל כּוֹל,5415,"any or every (in the singular only, but often in a plural sense)",
H559,אָמַר,5319,"appoint, avouch, bid, boast self, call, certify, challenge, charge, + (at the, give) command(-ment), commune, consider, declare, demand, X desire, determine, X expressly, X indeed, X intend, name, X plainly, promise, publish, report, require, say, speak (against, of), X still, X suppose, talk, tell, term, X that is, X think, use (speech), utter, X verily, X yet.",చెప్పు - పలుకు
H3808,לוֹא לוֹה,5188,"+ or else, ere, + except, ig(-norant), much, less, nay, neither, never, no((-ne), -r, (-thing)), (X as though...,(can-), for) not (out of), of nought, otherwise, out of, + surely, + as truly as, + of a truth, + verily, for want, + whether, without.",
H1121,בֵּן,4926,"in the widest sense (of literal and figurative relationship, including grandson, subject, nation, quality or condition, etc., (like H0001 H0251, etc.))","ఒక కొడుకు (కుటుంబ పేరు యొక్క బిల్డర్‌గా), విశాలమైన అర్థంలో (మనవడు, విషయం, దేశం, నాణ్యత లేదా స్థితి మొదలైన వాటితో సహా సాహిత్య మరియు అలంకారిక సంబంధం, (H0001 H0251, మొదలైనవి వంటివి))"
H3588,כִּי,4487,antecedent or consequent],
H1961,הָיָה,3575,"i.e. to happen, to occur (always emphatic, and not a mere copula or auxiliary)",ఉండు - జరుగు
H6213,עָשָׂה,2640,in the broadest sense and widest application (as follows),విస్తృతమైన అర్థంలో మరియు విస్తృతమైన అప్లికేషన్ (క్రింది విధంగా)
H430,אֱלוֹהִים,2602,occasionally applied by way of deference to magistrates,దేవుడు (బహువచనం)
H935,בּוֹא,2593,"apply, attain, X be, befall, + besiege, bring (forth, in, into, to pass), call, carry, X certainly, (cause, let, thing for) to come (against, in, out, upon, to pass), depart, X doubtless again, + eat, + employ, (cause to) enter (in, into, -tering, -trance, -try), be fallen, fetch, + follow, get, give, go (down, in, to war), grant, + have, X indeed, (in-)vade, lead, lift (up), mention, pull in, put, resort, run (down), send, set, X (well) stricken (in age), X surely, take (in), way.",వెళ్ళడానికి లేదా రావడానికి (అనేక రకాల అప్లికేషన్లలో)
H4428,מֶלֶך,2530,royal.,ఒక రాజు
H3478,יִשׂרָאֵל,2507,(typically) of his posterity,దేవునితో పోరాడినవాడు
H776,אֶרֶץ,2505,or partitively a land),భూమి - దేశము
H3117,יוֹם,2305,"whether literal (from sunrise to sunset, or from one sunset to the next), or figurative (a space of time defined by an associated term), (often used adverb)","ఒక రోజు (వెచ్చని గంటలుగా), అక్షరార్థం (సూర్యోదయం నుండి సూర్యాస్తమయం వరకు, లేదా ఒక సూర్యాస్తమయం నుండి తదుపరి వరకు), లేదా అలంకారిక (అనుబంధ పదం ద్వారా నిర్వచించబడిన సమయం), (తరచుగా ఉపయోగించే క్రియా విశేషణం)"
H6440,פָּנִים,2128,"as a preposition) before, etc.","ముఖం (తిరుగుతున్న భాగం వలె); (ప్రిపోజిషనల్ ప్రిఫిక్స్‌తో, ప్రిపోజిషన్‌గా) ముందు, మొదలైనవి."
H1004,בַּיִת,2056,"especially family, etc.)",
H5414,נָתַן,2015,"used with greatest latitude of application (put, make, etc.)","ఇవ్వడానికి, అప్లికేషన్ యొక్క గొప్ప అక్షాంశంతో ఉపయోగించబడుతుంది (పుట్, తయారు, మొదలైనవి)"
H1931,הוּא הִיא,1889,"huw' (hoo) (of which the feminine (beyond the Pentateuch) is hiyw {he}) p/d. 1. (the third person pronoun singular) he, she, or it (only expressed when emphatic or without a verb) 2. (intensively) self 3. (especially with the article) the same 4. (sometimes, as demonstrative) this or that 5. (occasionally, instead of copula) as or are [a primitive word] KJV: he, as for her, him(-self), it, the same, she (herself), such, that (...it), these, they, this, those, which (is), who.",
H5971,עַם,1868,hence (collectively) troops or attendants,"ఒక ప్రజలు (సమావేశ యూనిట్‌గా); ప్రత్యేకంగా, ఒక తెగ (ఇజ్రాయెల్‌గా)"
H376,אִישׁ,1662,"another, any (man), a certain, + champion, consent, each, every (one), fellow, (foot-, husband-)man, (good-, great, mighty) man, he, high (degree), him (that is), husband, man(-kind), + none, one, people, person, + steward, what (man) soever, whoso(-ever), worthy.",ఒక వ్యక్తి లేదా మగ వ్యక్తిగా ఒక వ్యక్తి; తరచుగా మరింత ఖచ్చితమైన పదానికి అనుబంధంగా ఉపయోగించబడుతుంది (మరియు అలాంటి సందర్భాలలో తరచుగా అనువాదంలో వ్యక్తీకరించబడదు)
H3027,יָד,1627,"used (as noun, adverb, etc.) in a great variety of applications, both literally and figuratively, both proximate and remote (as follows)","ఒక చేతి (ఓపెన్ ఒకటి (శక్తి, సాధనాలు, దిశ, మొదలైనవి సూచిస్తుంది), H3709 నుండి భిన్నంగా, మూసివేయబడినది); అనేక రకాల అప్లికేషన్లలో (నామవాచకం, క్రియా విశేషణం మొదలైనవి) ఉపయోగించబడింది, అక్షరాలా మరియు అలంకారికంగా, సమీప మరియు రిమోట్ (క్రింది విధంగా)"
H1980,הָלַך,1556,literally and figuratively),"ఒక ఆదిమ మూలం; నడవడానికి (అనేక రకాల అప్లికేషన్లలో, అక్షరాలా మరియు అలంకారికంగా)"
H1697,דָּבָר,1454,"advice, affair, answer, X any such (thing), because of, book, business, care, case, cause, certain rate, + chronicles, commandment, X commune(-ication), + concern(-ing), + confer, counsel, + dearth, decree, deed, X disease, due, duty, effect, + eloquent, errand, (evil favoured-)ness, + glory, + harm, hurt, + iniquity, + judgment, language, + lying, manner, matter, message, (no) thing, oracle, X ought, X parts, + pertaining, + please, portion, + power, promise, provision, purpose, question, rate, reason, report, request, X (as hast) said, sake, saying, sentence, + sign, + so, some (uncleanness), somewhat to say, + song, speech, X spoken, talk, task, + that, X there done, thing (concerning), thought, + thus, tidings, what(-soever), + wherewith, which, word, work.",ఒక పదం; (సూచన ద్వారా) ఒక విషయం (చెప్పినట్లు) లేదా విషయం
H7200,רָאָה,1315,"literally or figuratively (in numerous applications, direct and implied, transitive, intransitive and causative)","చూడటానికి, అక్షరాలా లేదా అలంకారికంగా (అనేక అనువర్తనాల్లో, ప్రత్యక్ష మరియు పరోక్ష, ట్రాన్సిటివ్, ఇంట్రాన్సిటివ్ మరియు కాసేటివ్)"
H5704,עַד,1260,"adverb or conjunction especially with a preposition) as far (or long, or much) as, whether of space (even unto) or time (during, while, until) or degree (equally with)",
H4480,מִן מִנִּי מִנֵּי,1229,prepositionally) from or out of (in many senses),
H1,אָב,1210,or figurative and remote application},తండ్రి (పితృ సంబంధం)
H2088,זֶה,1178,this or that,
H8085,שָׁמַע,1167,"causatively, to tell, etc.)","తెలివిగా వినడానికి (తరచుగా శ్రద్ధ, విధేయత మొదలైన వాటితో; కారణం, చెప్పడం మొదలైనవి)"
H1696,דָּבַר,1145,"but used figuratively (of words), to speak; rarely (in a destructive sense) to subdue",మాట్లాడు
