Verse,Hebrew Word,Transliteration,Strong's Number,English Meaning,Telugu Word,Telugu Meaning,Greek (LXX),Greek Transliteration,Part of Speech,Notes
1:1,בְּרֵאשִׁית,bereshit,H7225,In the beginning,బెరేషీత్,ఆదియందు / మొదటిలో,ἐν ἀρχῇ,en archē,noun,"From 'rosh' (head) - the first, chief, or beginning"
1:1,בָּרָא,bara,H1254,created,బారా,సృష్టించెను,ἐποίησεν,epoiēsen,verb,"To create (qualified), to make, to form - used only of God's creative activity"
1:1,אֱלֹהִים,elohim,H430,God,ఎలోహీమ్,దేవుడు,ὁ θεὸς,ho theos,noun,"Plural of 'eloah', used for the one true God; indicates majesty and fullness"
1:1,אֵת,et,H853,(untranslatable direct object marker),ఏత్,-,τὸν,ton,particle,"Grammatical marker for direct object - the 'Aleph Tav' (first and last letters of Hebrew alphabet)"
1:1,הַשָּׁמַיִם,hashamayim,H8064,the heavens,హషామయిమ్,ఆకాశమును,τὸν οὐρανὸν,ton ouranon,noun,"The sky, visible heavens, or the dwelling place of God"
1:1,וְאֵת,ve'et,H853,and (the),వేత్,మరియు,-,-,conjunction+particle,Conjunction 'and' + direct object marker
1:1,הָאָרֶץ,ha'aretz,H776,the earth,హారెట్స్,భూమిని,τὴν γῆν,tēn gēn,noun,"The land, earth, ground, or territory"
1:2,וְהָאָרֶץ,veha'aretz,H776,and the earth,వెహారెట్స్,భూమియు,-,-,conjunction+noun,Conjunction + definite article + earth
1:2,הָיְתָה,hayetah,H1961,was,హాయెతా,ఉండెను,ἦν,ēn,verb,"To be, become, exist, happen"
1:2,תֹהוּ,tohu,H8414,formless,తోహు,నిరాకారముగ,ἀόρατος,aoratos,noun,"Emptiness, waste, formlessness, confusion, chaos"
1:2,וָבֹהוּ,vavohu,H922,and void,వావోహు,శూన్యముగ,ἀκατασκεύαστος,akataskeuastos,noun,"Emptiness, void, waste - used only with tohu"
1:2,וְחֹשֶׁךְ,vechoshek,H2822,and darkness,వెహోశెక్,చీకటి,σκότος,skotos,noun,"Darkness, obscurity"
1:2,עַל־פְּנֵי,al-pnei,H5921+H6440,upon the face of,అల్ పెనే,మీద,ἐπάνω,epanō,preposition+noun,On/upon + face/surface
1:2,תְהוֹם,tehom,H8415,the deep,తెహోమ్,అగాధము,τῆς ἀβύσσου,tēs abyssou,noun,"Deep, abyss, the primeval ocean"
