Verse,Hebrew Word,Transliteration,Strong's Number,English Meaning,Telugu Meaning,Part of Speech
29:1,וַיִּשָּׂא,vysh',,,,
29:1,יַעֲקֹב,Yaaqov,H3290,Jacob,యాకోబు,noun proper
29:1,רַגְלָיו,rglyv,,,,
29:1,וַיֵּלֶךְ,yalakh,H3212,away,(వాచ్యంగా లేదా అలంకారికంగా) నడవడానికి; (కారణంగా) మోయడానికి (వివిధ భావాలలో),verb
29:1,אַרְצָה,'rtsh,,,,
29:1,בְנֵי,niy,H5204,apparently from H5091],,noun
29:1,קֶדֶם,qdm,,,,
29:2,וַיַּרְא,yare,H3372,fear,భయపడు,verb
29:2,וְהִנֵּה,henah,H2008,hither,,verb
29:2,בְאֵר,v'r,,,,
29:2,בַּשָּׂדֶה,shidah,H7705,musical instrument.,,noun
29:2,וְהִנֵּה,henah,H2008,hither,,verb
29:2,שָׁם,sham,H8033,or thence,,verb
29:2,שְׁלֹשָׁה,shlshh,,,,
29:2,עֶדְרֵי,'dry,,,,
29:2,צֹאן,tson,H6629,"flock, sheep",మేకలు,noun
29:2,רֹבְצִים,rvtsym,,,,
29:2,עָלֶיהָ,aleiha,H5921,upon her/it,దానిమీద,preposition
29:2,כִּי,khiy,H3588,antecedent or consequent],,conjunction
29:2,מִן,min,H4480,from,నుండి,preposition
29:2,הַבְּאֵר,ba'ar,H874,to explain,,verb
29:2,הַהִוא,hu,H1931,"he, it",అతడ,
29:3,וְנֶאֶסְפוּ,vn'sfv,,,,
29:3,שָׁמָּה,mah,H4100,what?,ఏమి?,interrogative
29:3,כָל,khl,,,,
29:3,הָעֲדָרִים,h'drym,,,,
29:3,וְגָלֲלוּ,vgllv,,,,
29:3,אֶת,'t,,,,
29:3,הָאֶבֶן,even,H68,stone,రాయి,noun
29:3,מֵעַל,al,H5921,"upon, over",మీద,preposition
29:3,פִּי,fy,,,,
29:3,הַבְּאֵר,ba'ar,H874,to explain,,verb
29:3,וְהִשְׁקוּ,vhshqv,,,,
29:3,אֶת,'t,,,,
29:3,הַצֹּאן,tson,H6629,"flock, sheep",మేకలు,noun
29:3,וְהֵשִׁיבוּ,vhshyvv,,,,
29:3,אֶת,'t,,,,
29:4,וַיֹּאמֶר,yomar,H559,he will say,అతడ చపపన,verb
29:4,לָהֶם,ham,H1990,a region of Israel,,noun location
29:4,יַעֲקֹב,Yaaqov,H3290,Jacob,యాకోబు,noun proper
29:4,אַחַי,'chy,,,,
29:4,מֵאַיִן,'ayin,H370,where.,,verb
29:4,אַתֶּם,'tm,,,,
29:4,וַיֹּאמְרוּ,yomru,H559,they will say,వర చపపదర,verb
29:4,מֵחָרָן,Charan,H2771,Haran,హారాను,noun location
29:4,אֲנָחְנוּ,'nchnv,,,,
29:5,וַיֹּאמֶר,yomar,H559,he will say,అతడ చపపన,verb
29:5,לָהֶם,ham,H1990,a region of Israel,,noun location
29:5,הַיְדַעְתֶּם,hyd'tm,,,,
29:5,אֶת,'t,,,,
29:5,לָבָן,Lavan,H3837,Laban,లాబాను,noun location
29:5,בֶּן,vn,,,,
29:5,נָחוֹר,Nachor,H5152,Nahor,నాహోరు,noun proper
29:5,וַיֹּאמְרוּ,yomru,H559,they will say,వర చపపదర,verb
29:5,יָדָעְנוּ,yd'nv,,,,
29:6,וַיֹּאמֶר,yomar,H559,he will say,అతడ చపపన,verb
29:6,לָהֶם,ham,H1990,a region of Israel,,noun location
29:6,הֲשָׁלוֹם,shalom,H7965,peace,శాంతి,noun
29:6,לוֹ,lv,,,,
29:6,וַיֹּאמְרוּ,yomru,H559,they will say,వర చపపదర,verb
29:6,שָׁלוֹם,shlvm,,,,
29:6,וְהִנֵּה,henah,H2008,hither,,verb
29:6,רָחֵל,Rachel,H7354,Rachel,రాహేలు,noun proper
29:6,בִּתּוֹ,tav,H8420,mark.,,noun
29:6,בָּאָה,v'h,,,,
29:6,עִם,im,H5973,with,తో,preposition
29:6,הַצֹּאן,tson,H6629,"flock, sheep",మేకలు,noun
29:7,וַיֹּאמֶר,yomar,H559,he will say,అతడ చపపన,verb
29:7,הֵן,hen,H2005,if,,particle
29:7,עוֹד,od,H5750,"still, yet, again",ఇంకా,verb
29:7,הַיּוֹם,hayyom,H3117,"the day, today",ఈ దినము,noun
29:7,גָּדוֹל,gdvl,,,,
29:7,לֹא,lo,H3808,not,కాదు,verb
29:7,עֵת,et,H6256,time,సమయము,noun
29:7,הֵאָסֵף,asaf,H622,gather,సమకూర్చు,verb
29:7,הַמִּקְנֶה,miqneh,H4735,abstractly,,noun
29:7,הַשְׁקוּ,hshqv,,,,
29:7,הַצֹּאן,tson,H6629,"flock, sheep",మేకలు,noun
29:7,וּלְכוּ,vlkhv,,,,
29:7,רְעוּ,Reu,H7466,Reu,రెయూ,noun proper
29:8,וַיֹּאמְרוּ,yomru,H559,they will say,వర చపపదర,verb
29:8,לֹא,lo,H3808,not,కాదు,verb
29:8,נוּכַל,nvkhl,,,,
29:8,עַד,ad,H5704,"until, as far as",వరకు,preposition
29:8,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
29:8,יֵאָסְפוּ,y'sfv,,,,
29:8,כָּל,khl,,,,
29:8,הָעֲדָרִים,h'drym,,,,
29:8,וְגָלֲלוּ,vgllv,,,,
29:8,אֶת,'t,,,,
29:8,הָאֶבֶן,even,H68,stone,రాయి,noun
29:8,מֵעַל,al,H5921,"upon, over",మీద,preposition
29:8,פִּי,fy,,,,
29:8,הַבְּאֵר,ba'ar,H874,to explain,,verb
29:8,וְהִשְׁקִינוּ,vhshqynv,,,,
29:9,עוֹדֶנּוּ,'vdnv,,,,
29:9,מְדַבֵּר,dabar,H1696,but used figuratively,మాట్లాడు,verb
29:9,עִמָּם,'mm,,,,
29:9,וְרָחֵל,Rachel,H7354,Rachel,రాహేలు,noun proper
29:9,בָּאָה,v'h,,,,
29:9,עִם,im,H5973,with,తో,preposition
29:9,הַצֹּאן,tson,H6629,"flock, sheep",మేకలు,noun
29:9,אֲשֶׁר,'asher,H834,when,,pronoun reflexive
29:9,לְאָבִיהָ,l'vyh,,,,
29:9,כִּי,khiy,H3588,antecedent or consequent],,conjunction
29:9,רֹעָה,r'h,,,,
29:9,הִוא,hv',,,,
29:10,וַיְהִי,vayehi,H1961,and it was,అయెను,verb
29:10,כַּאֲשֶׁר,'asher,H834,when,,pronoun reflexive
29:10,רָאָה,raah,H7200,see,చూచు,verb
29:10,יַעֲקֹב,Yaaqov,H3290,Jacob,యాకోబు,noun proper
29:10,אֶת,'t,,,,
29:10,רָחֵל,Rachel,H7354,Rachel,రాహేలు,noun proper
29:10,בַּת,bat,H1324,a bath or Hebrew measure of liquids,,noun
29:10,לָבָן,Lavan,H3837,Laban,లాబాను,noun location
29:10,אֲחִי,'achiy,H277,the name of two Israelites,,noun proper
29:10,אִמּוֹ,immo,H517,his mother,అతని తల్లి,noun
29:10,וְאֶת,et,H853,(object marker),-,particle unrepresented in English
29:10,צֹאן,tson,H6629,"flock, sheep",మేకలు,noun
29:10,לָבָן,Lavan,H3837,Laban,లాబాను,noun location
29:10,אֲחִי,'achiy,H277,the name of two Israelites,,noun proper
29:10,אִמּוֹ,immo,H517,his mother,అతని తల్లి,noun
29:11,וַיִּשַּׁק,vyshq,,,,
29:11,יַעֲקֹב,Yaaqov,H3290,Jacob,యాకోబు,noun proper
29:11,לְרָחֵל,Rachel,H7354,Rachel,రాహేలు,noun proper
29:11,וַיִּשָּׂא,vysh',,,,
29:11,אֶת,'t,,,,
29:11,קֹלוֹ,qlv,,,,
29:11,וַיֵּבְךְּ,vyvkh,,,,
29:12,וַיַּגֵּד,vygd,,,,
29:12,יַעֲקֹב,Yaaqov,H3290,Jacob,యాకోబు,noun proper
29:12,לְרָחֵל,Rachel,H7354,Rachel,రాహేలు,noun proper
29:12,כִּי,khiy,H3588,antecedent or consequent],,conjunction
29:12,אֲחִי,'achiy,H277,the name of two Israelites,,noun proper
29:12,אָבִיהָ,'vyh,,,,
29:12,הוּא,hv',,,,
29:12,וְכִי,khiy,H3588,antecedent or consequent],,conjunction
29:12,בֶן,vn,,,,
29:12,רִבְקָה,Rivqah,H7259,Rebekah,రిబ్కా,noun proper
29:12,הוּא,hv',,,,
29:12,וַתָּרָץ,vtrts,,,,
