strongs_number,original_word,testament,language,part_of_speech,english_meaning,telugu_meaning,occurrences
H1,אָב,Old Testament,Hebrew,noun,or figurative and remote application},తండ్రి (పితృ సంబంధం),1210
A2,אַב,Old Testament,Aramaic,noun,father,,9
H3,אֵב,Old Testament,Hebrew,noun,fruit.,పచ్చని మొక్క,2
A4,אֵב,Old Testament,Aramaic,noun,fruit,,3
H5,אֲבַגתָּא,Old Testament,Hebrew,noun proper,a eunuch of Xerxes,,1
H6,אָבַד,Old Testament,Hebrew,verb,(by implication) to perish; (causative) to destroy,నశించు - నాశనం చేయు,185
A7,אֲבַד,Old Testament,Aramaic,verb,perish,,7
H8,אוֹבֵד,Old Testament,Hebrew,noun,(concretely) wretched; (abstractly) destruction,,2
H9,אֲבֵדָה,Old Testament,Hebrew,noun,i.e. Hades,,4
H10,אֲבַדּוֹה,Old Testament,Hebrew,noun,miswritten for H11],,1
H11,אֲבַדּוֹן,Old Testament,Hebrew,noun location,(abstractly) a perishing; (concretely) Hades,,6
H12,אַבדָּן,Old Testament,Hebrew,noun,a perishing,,1
H13,אָבדָּן,Old Testament,Hebrew,noun,a perishing,,1
H14,אָבָה,Old Testament,Hebrew,verb,"rest content will, be willing.",అంగీకరించు - సమ్మతించు,54
H15,אָבֶה,Old Testament,Hebrew,noun,longing,,1
H16,אֵבֶה,Old Testament,Hebrew,noun,the papyrus,,1
H17,אֲבוֹי,Old Testament,Hebrew,injunction,want,,1
H18,אֵבוּס,Old Testament,Hebrew,noun,a manger or stall,,3
H19,אִבחָה,Old Testament,Hebrew,noun,brandishing of a sword,,1
H20,אֲבַטִּיַח,Old Testament,Hebrew,noun,a melon (only plural),,1
H21,אֲבִי,Old Testament,Hebrew,noun proper,Hezekiah's mother,,1
H22,אֲבִיאֵל,Old Testament,Hebrew,noun proper,the name of two Israelites,,3
H23,אֲבִיאָסָף,Old Testament,Hebrew,noun proper,an Israelite,,1
H24,אָבִיבּ,Old Testament,Hebrew,noun,(hence) the name of the month Abib or Nisan,,8
H25,אֲבִי גִּבעוֹן,Old Testament,Hebrew,noun proper,perhaps an Israelite,,2
H26,אֲבִיגַּיִל אֲבִיגַּל,Old Testament,Hebrew,noun proper,the name of two Israelitesses,,19
H27,אֲבִידָּן,Old Testament,Hebrew,noun proper,an Israelite,,5
H28,אֲבִידָּע,Old Testament,Hebrew,noun proper,a son of Abraham by Keturah,,2
H29,אֲבִיָה אֲבִיָהוּ,Old Testament,Hebrew,noun proper,the name of several Israelite men and two Israelitesses,,25
H30,אֲבִיהוּא,Old Testament,Hebrew,noun proper,a son of Aaron,,12
H31,אֲבִיהוּד,Old Testament,Hebrew,noun proper,the name of two Israelites,,1
H32,אֲבִיהַיִל אֲבִיחַיִל,Old Testament,Hebrew,noun proper,the name of three Israelites and two Israelitesses,,6
H33,אֲבִי הָעֶזרִי,Old Testament,Hebrew,noun proper,father of the Ezrite; an Abiezrite or descendant of Abiezer,,3
H34,אֶביוֹן,Old Testament,Hebrew,adjective,in the sense of want (especially in feeling)],,61
H35,אֲבִיוֹנָה,Old Testament,Hebrew,noun,provocative of desire; the caper berry (from its stimulative taste),,1
H36,אֲבִיטּוּב,Old Testament,Hebrew,noun proper,an Israelite,,1
H37,אֲבִיטַּל,Old Testament,Hebrew,noun proper,a wife of King David,,2
H38,אֲבִיָם,Old Testament,Hebrew,noun proper,a king of Judah,,5
H39,אֲבִימָאֵל,Old Testament,Hebrew,noun proper,a son of Joktan,,2
H40,אֲבִימֶלֶך,Old Testament,Hebrew,noun proper,the name of two Philistine kings and of two Israelites,,67
H41,אֲבִינָדָב,Old Testament,Hebrew,noun proper,the name of four Israelites,,12
H42,אֲבִינוֹעַם,Old Testament,Hebrew,noun proper,an Israelite,,4
H43,אֶביָסָף,Old Testament,Hebrew,noun proper,an Israelite,,3
H44,אֲבִיעֶזֶר,Old Testament,Hebrew,noun proper,the name of two Israelites,,7
H45,אֲבִי ־ עַלבּוֹן,Old Testament,Hebrew,noun proper,"Abialbon, an Israelite",,1
H46,אָבִיר,Old Testament,Hebrew,adjective,mighty (spoken of God),,6
H47,אַבִּיר,Old Testament,Hebrew,adjective,"bull, chiefest, mighty (one), stout(-hearted), strong (one), valiant.",,17
H48,אֲבִירָם,Old Testament,Hebrew,noun proper,the name of two Israelites,,11
H49,אֲבִישַׁג,Old Testament,Hebrew,noun proper,a concubine of David,,5
H50,אֲבִישׁוַּע,Old Testament,Hebrew,noun proper,the name of two Israelites,,5
H51,אֲבִישׁוּר,Old Testament,Hebrew,noun proper,an Israelite,,2
H52,אֲבִישַׁי אַבשַׁי,Old Testament,Hebrew,noun proper,an Israelite,,25
H53,אֲבִישָׁלוֹם אַבשָׁלוֹם,Old Testament,Hebrew,noun proper,"(also, the fuller form) a later Israelite",,111
H54,אֶביָתָר,Old Testament,Hebrew,noun proper,an Israelite,,30
H55,אָבַך,Old Testament,Hebrew,verb,probably to coil upward,,1
H56,אָבַל,Old Testament,Hebrew,verb,mourn.,,39
H57,אָבֵל,Old Testament,Hebrew,adjective,-ing).,,8
H58,אָבֵל,Old Testament,Hebrew,noun,"the, proper, names, beginning, with, Abel-",,1
H59,אָבֵל,Old Testament,Hebrew,noun location,the name of two places in Israel,,4
H60,אֵבֶל,Old Testament,Hebrew,noun,lamentation,,24
H61,אֲבָל,Old Testament,Hebrew,verb,i.e. truly or yet,,11
H62,אָבֵל בֵּיתּ מֲעַכָה,Old Testament,Hebrew,noun location,a place in Israel,,2
H63,אָבֵל הַשִּׁטִּים,Old Testament,Hebrew,noun location,a place in Israel,,1
H64,אָבֵל כְּרָמִים,Old Testament,Hebrew,noun location,a place in Israel,,1
H65,אָבֵל מְחוֹלָה,Old Testament,Hebrew,noun location,a place in Israel,,3
H66,אַבֵל מַיִם,Old Testament,Hebrew,noun location,a place in Israel,,1
H67,אָבֵל מִצרַיִם,Old Testament,Hebrew,noun location,a place in Israel,,1
